,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
30,Pit,Shyann Bailey,"['Reis: Honor', 'Day After Day']",N/A,"Producer, Actor, Cinematographer",N/A
31,Pit,Manuel Contreras,"['Paranormal Drunktivity', 'Fortune, CO']",N/A,"Actor, Writer, Producer",N/A
32,Pit,Zane Hampton,"['Sasha Reiss Evolution', 'Mostly']",N/A,"Editor, Producer, Writer",N/A
33,Pit,Roman Pena,"['Pit', 'We played for Legend']",N/A,Actor,N/A
34,Pit,Jordan Spalding,"['Red Dust Midterm', 'The Jurassic Dead']",N/A,"Cinematographer, Editor, Writer",N/A
35,Toni Air,Toni Luoma-Nirva,"['Fight or Flight', 'The Pain of Creation']",N/A,"Editor, Editorial Department, Actor",N/A
36,Loose Ends,Ned Garnier,"['Black Panther', 'Superintelligence']",N/A,"Actor, Additional Crew",N/A
37,Destiny: A Power Rangers Fan Film,Jorge Eadon-Davies,"['Redemption: A Power Rangers Fan Film', 'Spider-Man 2: Broken Identity']",N/A,Actor,N/A
38,Destiny: A Power Rangers Fan Film,Nathan McInnes,"['Redemption: A Power Rangers Fan Film', 'Spider-Man 2: Broken Identity']",N/A,"Director, Actor, Writer",N/A
39,Destiny: A Power Rangers Fan Film,Morgan Price,"['Redemption: A Power Rangers Fan Film', 'Spider-Man 2: Broken Identity']",N/A,"Actor, Writer, Cinematographer",N/A
40,"Easy, Killer.",Iyana Brown-Bey,"['Easy, Killer.', 'Midnight Crisis']",N/A,Actress,N/A
41,"Easy, Killer.",Lily Paige,"['Journey to the End of the Night', 'Room to Believe']",N/A,"Actress, Make-Up Department, Special Effects",N/A
42,"Easy, Killer.",Andrew Lowe,"['Easy, Killer.', ""I Threw My Own Pride Parade Because My City Didn't Have One""]",N/A,Actor,N/A
43,Rebel with a Cause Aka Warrior,Danny Man,"['Rebel with a Cause Aka Warrior', 'Legend of the Red Reaper']",N/A,"Actor, Writer, Director",N/A
44,The Contract,Matic Kolosa,"['Lethal Point', 'Temporal']",N/A,"Actor, Producer",N/A
45,The Contract,Matic Valentan,"['Lethal Point', 'Temporal']",1996,"Director, Writer, Actor",N/A
46,The Stop,Michelle Dominguez,"['The Stop', 'Strangers']",N/A,Actress,N/A
47,The Stop,Ryan Hunter,"['The Stop', 'True Conviction']",N/A,Actor,N/A
48,The Stop,Logan Jenkins,"['The Stop', 'Strangers']",N/A,"Actor, Art Department",N/A
49,Jurassic World: Fallen Kingdom - The Trailer Rescue,Zach King,"['Zootopia', 'Indiana Bones and the Raiders of the Lost Bark']",1990,"Actor, Director, Producer",1 win & 3 nominations
50,Jurassic World: Fallen Kingdom - The Trailer Rescue,Chris Pratt,"['Guardians of the Galaxy', 'Parks and Recreation']",1979,"Actor, Producer, Additional Crew",18 wins & 47 nominations
51,Posse S,Bart Broekhuijsen,"['Posse S', 'Code A1']",N/A,Actor,N/A
52,Posse S,Nisse Eimers,"['Een burgerlijke staat van verwarring', 'Nostra Culpa']",N/A,"Actor, Writer, Director",2 wins & 2 nominations
53,Posse S,Charlotte Quanjel,"['Moordvrouw', 'Het geheime dagboek van Hendrik Groen']",N/A,Actress,N/A
54,Posse S,Myrthe Hogeterp,"['Hartenstrijd', 'Detention']",N/A,"Actress, Producer",N/A
55,Posse S,Neeltje van den Brand,"['Posse S', 'Impossible Love']",N/A,Actress,N/A
56,Posse S,Ingrid Leystra,"['Posse S', 'Fout bloed']",N/A,Actress,N/A
57,Posse S,Thomas Perrels,"['Capo di Famiglia', 'All in Kitchen']",N/A,"Talent Agent, Manager, Actor",N/A
58,Water,Morad Azzaaoui,"['Unbound Evil', 'Wonder Woman 1984']",1979,"Actor, Stunts, Transportation Department",2 wins & 2 nominations
59,Insane,Julien Leroy,"[""La fuite de l'oléoduc de Lituanie"", 'Insane']",N/A,"Composer, Actor, Music Department",N/A
60,Insane,Pierre-Yves Merle,"['Le Temps des Freaks - Cabaret Vert 2019', 'Curiosité']",N/A,"Camera and Electrical Department, Actor, Additional Crew",N/A
61,Army of One,Ashleigh Borbey,"['Army of One', 'Spring Branch Chronicle']",N/A,"Actress, Additional Crew",N/A
62,Army of One,Robert Steven Brown,"['Do Not Watch', 'Agent Red 2']",N/A,"Stunts, Actor, Editor",3 wins
63,Army of One,Matthew F. Davis,"['Outrage', 'Mischief Upon Mischief']",N/A,"Actor, Stunts, Camera and Electrical Department",N/A
64,Army of One,Mark Dong,"['The Red Box', 'Outrage']",N/A,"Actor, Stunts",N/A
65,Army of One,Victor V Gelsomino,"['Death Merchant: City of Insurrection', ""Devil's Knight""]",N/A,"Actor, Producer, Stunts",N/A
66,Army of One,Steffi Grace,"['Death Merchant: City of Insurrection', 'Joy Comes in the Morning']",N/A,"Composer, Editor, Actress",N/A
67,Army of One,Joshua Hernandez,"['You Only Live Twice', 'The Hanging Woman']",N/A,"Editor, Cinematographer, Camera and Electrical Department",N/A
68,Tráfico de Urso,Fernando Arruda,"['Tráfico de Urso', 'Tribunal Na TV']",N/A,Actor,N/A
69,Tráfico de Urso,Rafael Castro,"['Juacas', 'Tráfico de Urso']",N/A,Actor,N/A
70,Tráfico de Urso,Kaique de Jesus,"['3%', 'Thirteen Days Away from the Sun']",N/A,Actor,N/A
71,Tráfico de Urso,Guta Magnani,"['Eleanor', 'Tráfico de Urso']",N/A,Actress,N/A
72,Tráfico de Urso,Roger Marinho Martin,"['Tráfico de Urso', 'Angústia']",N/A,Actor,N/A
73,Tráfico de Urso,Che Moais,"['O Braço Direito', 'Sem Fio']",N/A,"Actor, Producer",N/A
74,The Wheelman,Josh Brockett,"['Neutrals', 'The Two Samurai']",N/A,"Actor, Editor, Additional Crew",N/A
75,The Wheelman,Brian Genova,"['The Meme War', 'Until the End']",N/A,"Actor, Writer, Producer",N/A
76,Bouncer,David G. Pelta,"['Star Wars: Semilla Oscura', 'Marvel vs Power Ranger']",1989,"Stunts, Actor, Director",N/A
77,Bouncer,Myr Garrido,"['La sonata del silencio', 'Ikaro']",N/A,Actress,N/A
78,Bouncer,Tadashi Ito,"['Society of the Snow', 'Bird Box: Barcelona']",N/A,"Stunts, Actor",Tadashi Ito Gonzales
79,Bouncer,Ramón Langa,"[""Goya's Ghosts"", 'Minotauro']",1959,"Actor, Additional Crew",N/A
80,Bouncer,Alberto Jo Lee,"['La fuga', 'Tapas']",1979,"Actor, Stunts, Soundtrack",Alberto Jo-Lee
81,Familia,Samuel Menéndez,"['Familia', 'Rabia']",N/A,"Actor, Producer",N/A
82,Familia,María Benito,"['Khai', 'Familia']",N/A,Actress,N/A
83,Familia,Alejandro Costales,"['Familia', 'Ángel']",N/A,"Actor, Producer",N/A
84,Familia,Elsa Villar,"['Familia', 'Payasita II']",N/A,Actress,N/A
85,Familia,Tamara Cebollada,"['Familia', 'Noches de sangre']",N/A,Actress,N/A
86,Familia,Bea Rodriguez,"['Familia', 'The Flower in the Bottle']",N/A,Actress,N/A
87,Familia,Chema Abraira,"['Mal día', 'Apariencias']",N/A,"Actor, Producer, Composer",N/A
88,Familia,Israel Pérez,"['Corrupción en Gijón', 'Detective Areces']",N/A,"Actor, Producer",N/A
89,Ponto de Fuga,Thiancle Carvalho,"['Ponto de Fuga', 'O Cair dos Mortos']",N/A,Actor,N/A
90,Ponto de Fuga,Raphaella Donon,"['Ponto de Fuga', 'Pisadeira']",N/A,Actress,N/A
91,War of 3,Robert Angelo,"['From the Dead', 'Blue Eyes']",N/A,"Actor, Cinematographer",2 wins & 1 nomination
92,War of 3,Tom Babb,"['Blue Eyes', 'Human Hero']",N/A,"Producer, Actor, Editor",N/A
93,War of 3,Brendan Davis,"['Blue Eyes', 'Valiant Falcons 2: Heroes of the Galaxy']",N/A,"Actor, Cinematographer, Camera and Electrical Department",N/A
94,War of 3,Jeffrey Duke,"['Super Murv 5: The Super Sadness', 'Arthur - Mistaken']",N/A,"Cinematographer, Actor, Director",N/A
95,War of 3,Kat Lanier Froehlich,"['Intersect', 'War of 3']",N/A,Actress,N/A
96,War of 3,Anastasia Marie Gibson,"['Blue Eyes', 'War of 3']",N/A,Actress,N/A
97,War of 3,Dianne Marie Gibson,"['Blue Eyes', 'War of 3']",N/A,Actress,N/A
98,War of 3,Melvin Gray Jr.,"['War of 3', 'Hype']",N/A,Actor,N/A
99,Benny the Bruiser,Edmond Shum,"['Black Scar Blues', 'Beyond the Squared Circle']",N/A,"Stunts, Actor, Director",N/A
100,Benny the Bruiser,Kizzle,"['The Brokenhearted', 'To Live & Die Like a Man']",N/A,"Actress, Camera and Electrical Department, Producer",N/A
101,Benny the Bruiser,Leroy Nguyen,"['The Brokenhearted', 'Black Scar Blues']",N/A,"Director, Actor, Stunts",9 wins & 2 nominations
102,Benny the Bruiser,Cullen Cook III,"['The Exit Wound', ""Jericho's Bane""]",N/A,"Actor, Camera and Electrical Department, Stunts",N/A
103,Benny the Bruiser,Mahdi Eltigani,"['Black Scar Blues', 'Silverback']",N/A,Actor,N/A
104,Benny the Bruiser,Joseph Le,"['Shang-Chi and the Legend of the Ten Rings', 'Afro Samurai Champloo']",N/A,"Stunts, Director, Actor",N/A
105,Benny the Bruiser,Alex Au,"['Stranded', 'The Brokenhearted']",N/A,"Camera and Electrical Department, Actor, Cinematographer",N/A
106,CraveTech,Rita Khori,"['Code Black', 'The Last Ship']",5,"Actress, Producer, Writer",1 nomination
107,CraveTech,Danice Cabanela,"['Frasier', 'Dear White People']",N/A,"Actress, Producer, Writer",N/A
108,CraveTech,David Volz,"['Lure', 'Jackpot!']",N/A,"Actor, Writer, Cinematographer",N/A
109,CraveTech,Nick Ahlborn,"['A Traveling Symphony', 'CraveTech']",N/A,Actor,N/A
110,CraveTech,Feikamoh Massaquoi,"['State of Affairs', 'Scorpion']",N/A,"Actor, Camera and Electrical Department, Stunts",N/A
111,CraveTech,Jennifer Sims,"['Torchwood: Believe', 'CraveTech']",N/A,"Actress, Producer, Director",N/A
112,CraveTech,Pamela Paulson,"['CraveTech', 'Drunk']",N/A,Actress,N/A
113,CraveTech,Jeff Allen,"['Pay or Play', 'Medusa']",N/A,"Actor, Producer, Director",N/A
114,Leave No Man Behind,Alee Abozmal,"['Be Your Own Kind', 'Inferno: From the Ashes']",N/A,Actor,N/A
115,Leave No Man Behind,Omar Abozmal,"['Inferno: From the Ashes', 'Leave No Man Behind']",N/A,Actor,N/A
116,Leave No Man Behind,Thobo Mathodi,"['Be Your Own Kind', 'Leave No Man Behind']",N/A,Actor,N/A
117,Bullseye (Fan Film),Ashley Koon,"['Lockdown Theatre', 'Bullseye (Fan Film)']",N/A,Actress,N/A
118,Infido,Burka Norbert,"['Infido', 'Morse']",N/A,Actor,N/A
119,Infido,Szegi Márk,"['Infido', 'Morse']",N/A,Actor,N/A
120,Infido,Bajnok Dávid,"['Infido', 'Morse']",N/A,Actor,N/A
121,La triche à l'envers,Romaric Botella,"[""La triche à l'envers"", 'Le Roi Des Cons']",N/A,Actor,N/A
122,La triche à l'envers,Natsu Hartcher,"[""La therapie à l'envers"", ""La triche à l'envers""]",N/A,"Actor, Cinematographer, Additional Crew",N/A
123,La triche à l'envers,Tidus Hartcher,"[""La triche à l'envers"", ""La parapsychologie à l'envers""]",N/A,"Director, Actor, Writer",N/A
124,La triche à l'envers,Mathieu Maumelle,"[""La triche à l'envers"", 'La Cerebreuse']",N/A,Actor,N/A
125,Turf,Vincent Chan,"['Park Creeps', 'YanYuan']",N/A,"Actor, Additional Crew, Director",N/A
126,Turf,Jay Feng Cobb,"['The Last Asian Superheroes', 'Snakehead']",N/A,"Actor, Producer, Director",N/A
127,Triangle,Asher Berkson-Gold,"['Holding Patterns', 'Target']",N/A,"Actor, Camera and Electrical Department, Additional Crew",N/A
128,Insel Der Verdammten,Jacob Griffiths,"['Insel Der Verdammten', 'The Black Mystery']",N/A,Actor,N/A
129,Insel Der Verdammten,Jacob Hill,"['Insel Der Verdammten', 'The Black Mystery']",N/A,Actor,N/A
130,Insel Der Verdammten,Pacey Jackson,"['Snip', 'D I S A S S O C I A T E']",N/A,"Actor, Director, Cinematographer",N/A
131,Stealth,Richard Alvarado,"['Blood Sucker Punch', 'Stealth']",N/A,Actor,N/A
132,Stealth,Sofia Gonzales,"['Stealth', 'Ghost on the Dance Floor']",N/A,Actress,N/A
133,The Last Ranger (Fan Film),Michael Ochotorena,"['Running the Bases', 'John Light']",1977,"Actor, Producer, Writer",1 nomination
134,The Last Ranger (Fan Film),Rafael J. Acuña,"['Payback', 'Payback: Movie 2024']",N/A,Actor,N/A
135,The Last Ranger (Fan Film),Gabriel Mason,"['The Last Ranger (Fan Film)', 'The Getaway Driver']",N/A,Actor,N/A
136,The Last Ranger (Fan Film),Tinsley John,"['Midnight', 'Star Wars: Dying Hope (fan film)']",N/A,"Actor, Writer, Costume and Wardrobe Department",N/A
137,The Last Ranger (Fan Film),Eric Elias Flores,"['Furry', 'Follower']",N/A,"Director, Writer, Cinematographer",N/A
138,Reunion,Rhashid Dukes,"['Judgment Day', 'Reunion']",N/A,Actor,N/A
139,Reunion,Filipe Gusmão,"['Battle', 'Reunion']",N/A,Actor,N/A
140,Reunion,Thomas Hamby,"['Cowford Bites', 'Let Me Be Corey']",N/A,"Actor, Writer",N/A
141,Brate Si Piept,Alexandra Poiana,"['Brate Si Piept', 'Colors']",1989,Actress,N/A
142,Brate Si Piept,Michaela Prosan,"['Sacrificiul', 'Fructul oprit']",1992,Actress,N/A
143,Superior,Philippe Bernaerts,"['Ghost Rockers', 'Legends of the Dark Knight #1: The Butler Did It']",N/A,Actor,N/A
144,Superior,Joey Blangé,"['72hrs the Hague: Western', 'Hedwige']",N/A,Actor,N/A
145,Superior,Francis Ekoko,"['Speech', 'Superior']",N/A,Actor,N/A
146,Superior,Allard Geerlings,"['Overspel', 'De man uit Rome']",N/A,"Actor, Stunts, Additional Crew",N/A
147,Superior,Durk Ijtsma,"['Kill Mode', 'Molly']",N/A,"Actor, Production Manager, Stunts",N/A
148,Superior,Melina Ijtsma,"['Kameleon op Schattenjacht', 'Superior']",N/A,Actress,N/A
149,Superior,Victor Norbart,"['Boeven', 'Een Blik op Morgen']",N/A,"Actor, Writer, Script and Continuity Department",N/A
150,Yelk,Leandro Bulzzano,"['Yelk', 'Uno']",N/A,"Actor, Writer, Producer",N/A
151,The Decision,Vikram Chouhan,"['Udta Punjab', 'Please Kill Me']",N/A,"Actor, Writer",N/A
152,Overtime,Anthony Alcaraz,"[""In the Dark: Another 80's Slasher Flick"", 'Overtime']",N/A,"Actor, Composer",N/A
153,Happiness,Anna Black,"['Happiness', 'La Luce']",N/A,Actress,N/A
154,Black Out,Jake P. Kelly,"['Black Out', 'Fragile']",N/A,"Actor, Writer, Camera and Electrical Department",N/A
155,Black Out,Salim Khalid,"['Fragile', 'Black Out']",N/A,"Actor, Camera and Electrical Department",N/A
156,Black Out,Kat Gore,"['The Demons Within', 'Contract Driver']",N/A,"Actress, Make-Up Department, Camera and Electrical Department",N/A
157,Black Out,Logan Kidd,"['A Day at the Office', 'Black Out']",N/A,Actor,N/A
158,Black Out,Flemoh Jeffery Dulleh,"['Black Out', 'Charmless: a romance without Charm']",N/A,"Actor, Producer",N/A
159,Mezarci,Cihan Ege,"['Das Spiel beginnt', 'Mezarci']",N/A,"Actor, Camera and Electrical Department, Writer",N/A
160,Mezarci,Meto Ege,"['Das Spiel Endet', 'Search']",1987,"Actor, Director, Writer",","
161,DOA2,Celia Reigelman,"['Deadly Occurrence Agents: Cosmic Threat', 'DOARPG']",N/A,"Actress, Producer, Writer",N/A
162,DOA2,Josie Shaffer,"['DOA2', 'Deadly Occurrence Agents: Cosmic Threat']",N/A,"Writer, Actress, Producer",N/A
163,DOA2,Elijah Reigelman,"['Deadly Occurrence Agents', 'Deadly Occurrence Agents: Cosmic Threat']",N/A,"Actor, Producer",N/A
164,DOA2,Parker Olukalns,"['Deadly Occurrence Agents: Cosmic Threat', 'DOARPG']",N/A,"Writer, Editor, Director",N/A
165,DOA2,Duke Shaffer,"['Deadly Occurrence Agents: Cosmic Threat', 'DOARPG']",N/A,Actor,N/A
166,Take Over,Tramaine Bembury,"['Wu-Tang: An American Saga', 'Sense of Humor']",N/A,"Actor, Producer, Writer",N/A
167,Take Over,Dario Mellon,"['Take Over', 'Mad Lonely']",N/A,Actor,Dara Mellon
168,Shoot First,Jordan Garcia,"[""The Immortal Wars: Dekay's Paradox"", 'Shoot First']",N/A,"Actor, Cinematographer, Second Unit Director or Assistant Director",N/A
169,Shoot First,Jessica Formica,"['Shoot First', 'Insanity']",N/A,Actress,N/A
170,Shoot First,Jose Uribe Gonzales,"['Memories of the Meadow', 'Shellfish']",N/A,"Producer, Actor",N/A
171,Shoot First,Drew Franks,"['The Spooky Dooky', 'Manny']",N/A,"Camera and Electrical Department, Actor, Cinematographer",N/A
172,Shoot First,George Mentchoukov,"['Shoot First', 'I Want Fish']",N/A,"Camera and Electrical Department, Cinematographer, Director",N/A
173,Des Sirènes et des guns,Drew Franks,"['The Spooky Dooky', 'Manny']",N/A,"Camera and Electrical Department, Actor, Cinematographer",N/A
174,Des Sirènes et des guns,George Mentchoukov,"['Shoot First', 'I Want Fish']",N/A,"Camera and Electrical Department, Cinematographer, Director",N/A
175,Lego War: Battle of Mo-Wol,Trycoldman23,"['Lego War: Battle of Mo-Wol', 'Lego Zombie: The Outbreak 3']",N/A,Actor,N/A
176,Lego War: Battle of Mo-Wol,George Mentchoukov,"['Shoot First', 'I Want Fish']",N/A,"Camera and Electrical Department, Cinematographer, Director",N/A
177,Pa-Pa,Shahla Aliqizi,"['Apatiya', 'Niye 3?']",N/A,Actress,N/A
178,Ultimatum,Arman Ansari,"['Ultimatum', 'The Ark: An Iron Sky Story']",N/A,"Stunts, Actor, Director",N/A
179,Ultimatum,Douglas Dapaah-Agyemang,"['Ultimatum', 'Luuserit']",N/A,"Actor, Stunts, Writer",N/A
180,Rumblera Raidress,Alberto Praino,"['The Moving Forest', 'Rumblera Raidress']",N/A,Actor,N/A
181,Rumblera Raidress,Cacho Roma,"['Rumblera Raidress', 'Ring Runners']",N/A,Actor,N/A
182,Level III,Charlit Dae,"['The Immortal Wars', 'Hush Up Sweet Charlotte']",N/A,"Actor, Stunts, Additional Crew",Charlit Daecharkhom
183,Level III,Jackie Gerhardy,"['Captain America: Brave New World', 'The Hunted']",N/A,"Actress, Stunts",1 win
184,Level III,Mikayla Le,"['Level III the Motion Picture', 'Blood and Taxes']",N/A,Actress,N/A
185,Level III,Mike Le,"['Sword of Serenity', 'Level III']",N/A,"Stunts, Actor, Writer",N/A
186,Level III,Tek Le,"['Adversary: Wanted Dead or Alive', ""Harlee's Roses""]",N/A,"Actor, Stunts, Producer",2 wins
187,The Trials,Michael Eric Olson,"['No Hard Feelings', 'The Last of Us']",N/A,"Visual Effects, Director, Writer",N/A
188,The Robbery,Jesus Adrian,"['The Robbery', ""It's a matter of good boys""]",N/A,"Actor, Director, Producer",N/A
189,The Robbery,Omar Jurado,"['The Robbery', ""It's a matter of good boys""]",N/A,"Cinematographer, Actor, Writer",N/A
190,The Robbery,Pancho Lopez,"[""It's a matter of good boys"", 'The Birds Call']",N/A,"Actor, Director, Writer",N/A
191,Ghatakan,Thaha Kolpad,"['Whispers of the Lost', 'Varadhan']",N/A,"Actor, Music Department, Producer",N/A
192,Jimmy Kimmel's the Terrific Ten,Matt Damon,"['Good Will Hunting', 'The Martian']",1970,"Producer, Actor, Writer",40 wins & 158 nominations total
193,Jimmy Kimmel's the Terrific Ten,Ben Affleck,"['Argo', 'Gone Girl']",1972,"Producer, Actor, Writer",75 wins & 137 nominations total
194,Jimmy Kimmel's the Terrific Ten,Jennifer Aniston,"['Friends', 'Cake']",1969,"Actress, Producer, Director",45 wins & 104 nominations total
195,Jimmy Kimmel's the Terrific Ten,Ty Burrell,"['Modern Family', 'The Incredible Hulk']",1967,"Actor, Producer, Writer",19 wins & 47 nominations total
196,Jimmy Kimmel's the Terrific Ten,Shaquille O'Neal,"['Steel', 'The Lego Movie']",1972,"Actor, Producer, Writer",2 wins & 7 nominations
197,Jimmy Kimmel's the Terrific Ten,Sal Iacono,"['Jimmy Kimmel Live!', 'The Oscars']",1971,"Writer, Producer, Actor",'Cousin Sal'
198,Jimmy Kimmel's the Terrific Ten,Will Arnett,"['The Lego Batman Movie', 'The Lego Movie']",1970,"Actor, Producer, Writer",15 wins & 34 nominations total
199,Jimmy Kimmel's the Terrific Ten,Billy Crudup,"['Almost Famous', 'Watchmen']",1968,"Actor, Producer, Soundtrack",15 wins & 22 nominations total
200,Transportress,Jade-Eleena Dregorius,"['The Matrix Resurrections', 'Fast X']",N/A,"Stunts, Actress",2 nominations
201,Transportress,Joshua Grothe,"['The Matrix Resurrections', 'Sense8']",1987,"Actor, Director, Stunts",2 nominations
202,Transportress,Hannah Spreitzenbarth,"[""The Girl in the Spider's Web"", ""Charlie's Angels""]",1989,"Stunts, Actress",N/A
203,Transportress,Selam Tadese,"['The Baader Meinhof Complex', 'Immigration Game']",1980,"Actor, Stunts",","
204,Think Different,Dan Tymon,"['In Session', 'Trying']",N/A,"Actor, Writer, Director",N/A
205,Sandbox,Jesús Fernández,"['Añadir Contacto', 'Casi Amor']",N/A,"Actor, Writer, Producer",N/A
206,Seriously Bogue,King Amir Allahyar,"['Occupy', 'Strange Dayz']",N/A,"Actor, Manager",N/A
207,Seriously Bogue,Don Thacker,"['Motivational Growth', 'Devolver Digital - Big Fancy Press Conference 2018']",1979,"Director, Writer, Editor",12 wins & 2 nominations
208,Phantom Doctrine: Safe House,Tucker Case,"['Prospect', 'Supernatural Transmutations and Demolitions']",N/A,"Actor, Producer, Writer",N/A
209,Phantom Doctrine: Safe House,Elizabeth Sarah Cotter,"['Phantom Doctrine: Safe House', 'Seriously Bogue']",N/A,Actress,N/A
210,Phantom Doctrine: Safe House,Anna Lee Davis,"['Phantom Doctrine: Safe House', 'Shit First, Die Later']",N/A,"Actor, Second Unit Director or Assistant Director",N/A
211,Phantom Doctrine: Safe House,John Higdon,"['Phantom Doctrine: Safe House', 'Seriously Bogue']",N/A,Actor,N/A
212,CAPA Ghostbusters: A Ghostbusters Fan Film,Brandon Delvalle,"['CAPA Ghostbusters: A Ghostbusters Fan Film', 'Not Safe']",N/A,Actor,N/A
213,CAPA Ghostbusters: A Ghostbusters Fan Film,Nicholas Michael Jacobs,"['Genevieve', 'Tales from Six Feet Under']",N/A,"Editor, Director, Writer",N/A
214,CAPA Ghostbusters: A Ghostbusters Fan Film,Scott E. Kaufman,"['Brick', 'Interceptor Force']",N/A,"Camera and Electrical Department, Producer, Cinematographer",Scott Eric Kaufman
215,CAPA Ghostbusters: A Ghostbusters Fan Film,Austin Nguyen,"['E.Z.A.', 'Trapped']",N/A,"Cinematographer, Actor, Writer",N/A
216,CAPA Ghostbusters: A Ghostbusters Fan Film,Logan Perrin,"['CAPA Ghostbusters: A Ghostbusters Fan Film', 'Not Safe']",N/A,"Actress, Sound Department, Cinematographer",N/A
217,Aura,Jason John Beebe,"['Crossbreed', ""Through a Mother's Eyes""]",N/A,"Actor, Producer, Writer",N/A
218,Aura,Twanta Craig,"['Teenage Mutant Ninja Turtles: Out of the Shadows', 'Battledogs']",N/A,"Actor, Additional Crew, Camera and Electrical Department",N/A
219,Aura,Ayden Herreid,"['Aura', 'Locke']",N/A,Actor,N/A
220,Aura,Bill Reynolds,"['My Neck', 'Aura']",N/A,Actor,N/A
221,Aura,Gregory P. Robbins,"['A Quiet Place Part II', ""Superheroes Don't Need Capes""]",N/A,"Camera and Electrical Department, Actor, Stunts",N/A
222,The Bad Spy 2: Rise of Darkness,Demetrio Hronek-Perez,"['The Bad Spy 4: Final Battle', ""Frenchman's Star Wars Audition""]",N/A,"Actor, Writer, Director",N/A
