Nombre,Puntuacion_IMDB,Puntuacion_Rotten_Tomatoes,Director,Guionistas,Argumento,Duracion
Thumbs Up,N/A,N/A,Stefan Lazarski,Stefan Lazarski,"Grzes and Paula hitchhike to their friend in Geneva. On the way, they meet a handsome Italian who has more to offer than just a ride.",N/A
Pastorale,N/A,100%,Oriane Polack,Alain Descheres,"In an undefined country, armed law enforcement instituted a reign of terror. Amra and Shije run away with their children from a hostile country. Although the women did not know each other before, the similarity of the situations brings them closer together.",N/A
Oslava,N/A,N/A,Pavol Cizmár,Jakub Medvecký,"The story takes place in a small village in northern Slovakia. It presents the preparations for the anniversary birthday party of the main character, 99-year-old Valika Mat'ugova, assisted by her son Martin with his wife and their daughter. But things get complicated when Martin loses her job at a local bakery and his wife's wages are insufficient to cover the bills. ... Leer todo",N/A
Neden,N/A,N/A,Cemal Samli,N/A,,N/A
Ripple,N/A,N/A,Daniel Yam,N/A,,N/A
"Driftwood (Shooting Gallery, Channel 4)",N/A,N/A,James Webber,Sam GittinsNeil Maskell,,N/A
"Sunny Boy (Shooting Gallery, Channel 4)",N/A,N/A,Jane Gull,Darren KentLuis Sanchez,,N/A
Couffer,N/A,N/A,Andria Zakria,Larry Nabil Houzain,,N/A
"Sunny Boy (Shooting Gallery, Channel 4)",N/A,N/A,Jane Gull,Jane Gull,,N/A
Letters from Alaska,N/A,N/A,Dakota Laden,Dakota Laden,,N/A
Brits!,N/A,N/A,N/A,N/A,,N/A
Vagrant,N/A,33%,John-Mark Bergen,John-Mark Bergen,,N/A
Mapulang Paggugunamgunam,N/A,N/A,Noubikko Ray,Noubikko Ray,,N/A
No Identity,N/A,N/A,Raman Turhan,Raman Turhan,"The film deals with themes such as immigration, cultural and religious diversity. It promotes equality between peoples, countries, but especially emphasizes that all people have the same rights. That there shouldn't be men of first or second class. The message of the film is not to do to others what you would not want done to yourself. And as the character says ""be ca... Leer todo",N/A
Hum Kuchh Keh Na Sake,N/A,N/A,Karan Kashyap,Pratyusha BanerjeeKamya Punjabi,,N/A
Miss Pepper 2016,N/A,N/A,Meosha Bean,Meosha Bean,,N/A
Trade Off,N/A,N/A,Charlotte Slocum,Charlotte Slocum,,N/A
Unfriended,N/A,62%,Rec Revan,Mehdi AliyevNamiq Aslanov,,N/A
The Account Balance,N/A,N/A,Patrick Willems,Matt TorpeyPatrick Willems,"Chad views his account balance, sadly, for his last time.",N/A
Bambina,N/A,N/A,Yotam Knispel,Yotam Knispel,"While the wheels of her bag are spinning on the ancient pavement of the small Sicilian town she once lived in, Violetta is in search for a specific man. When she'll find him, things won't go as she expected. But that wouldn't stop her from getting what she wants at any cost.",N/A
No Phones In Class,N/A,N/A,Joshua Gill,Joshua Gill,,N/A
Wistful life,N/A,N/A,Mico Saad,Mico Saad,,N/A
Snatched,N/A,N/A,Kevin Crouch,Jordan Brown,"When Jeffrey is down on his luck after being released from prison, he stumbles across an opportunity to go back to his old life.",N/A
Den dag min ven ikke kom til fodbold,N/A,N/A,Katrine Majland GornitzkaFrederikke Vard,Jarivan AhmadKatrine Majland Gornitzka,"When his friend is expelled from the football team, a determined young enthusiast defies odds to find him. Ignored by others, he unearths truths and takes matters into his own hands, revealing the power of friendship.",N/A
Crimson on the Tobacco Road,N/A,N/A,Kevin Wilson Jr.,Kevin Wilson Jr.,,N/A
"Anyone, Anywhere",N/A,N/A,Frank Sanders,Frank Sanders,,N/A
Crimson Rose,N/A,N/A,Dana Boulos,Dana BoulosJesy Odio,"After a young seductress' dream of attending a prestigious university is foiled by her paramour's betrayal, she schemes her way into the life of a handsome young man, and vengeance and murder are her only convictions.",N/A
The Song Is Over,N/A,N/A,David Amutah,David Amutah,,N/A
Son of Icarus,N/A,N/A,Jérémy Adonis,Jérémy Adonis,,N/A
La lettre,N/A,71%,Quentin Dupuis,Emma Jouannet,,N/A
"Domino Gold, Wichita",N/A,N/A,Inti CalfatDirk Verheye,Inti CalfatDirk Verheye,A disfigured young man's obsession with a 'perfect' girl takes an unexpected turn as she welcomes his attention. But their happiness is brief before a more terrifying obsession takes hold.,N/A
Chay,N/A,N/A,Anna Kuzminykh,Anna Kuzminykh,"Lena flees the city, runs from her problems in the hope of ""recovering."" At a random station, she meets grandfather Nikolai.",N/A
Her Dreams,N/A,N/A,Witawit Rattanathitinun,N/A,,N/A
31st plastinka VR,N/A,N/A,Andrey KhomyakovDaniil LokshinZlata Perminova,Nasty Bohemia,,N/A
Il mare della tranquillità,N/A,N/A,Vincenzo Lamagna,Vincenzo LamagnaGennaro Mastrogiovanni,"During a summer night, two friends talk about the old times, remembering an old struggle which occurred between them.",N/A
Les choses simples,N/A,N/A,Sylvain Pelissier,Sylvain Pelissier,,N/A
12 uslovnostey,N/A,N/A,Oleg Shirinkin,Nasty Bohemia,,N/A
The Chris Spike Story,N/A,N/A,Cameron B. Smith,Cameron B. Smith,"Chris Spike, former owner and regional manager of multiple Cici's Pizza restaurants in the Brunswick County area, is in the midst of a financially life-altering deal when he is informed that something has happened with his autistic son on life support.",N/A
More mogucnosti,N/A,N/A,Benjamin Bakija,Benjamin Bakija,,N/A
La Parte Mancante,N/A,N/A,Piernicola Arena,Calogero VeneziaFrank Prandi,,N/A
Roaming,N/A,67%,Peggy Anderson,Peggy Anderson,A man invents a cell phone that can read the minds of whomever he texts from the phone. He gets an unexpected surprise when he texts his brother.,N/A
A Game of Chess,N/A,N/A,Eric Eghigian,Eric Eghigian,"Two men muse over life, death, religion and more as they face each other down in a deadly game of chess.",N/A
Tell Me,N/A,N/A,Jenna Washburn,N/A,,N/A
Les alchimistes,N/A,N/A,Jules Follet,Julles FolletSébastien Tixador,"A few days of the confrontational relationship of two brothers, Roman, wrecker, and Kylian, passionate about drag racing.",N/A
Last Round,N/A,N/A,Ziv Mamon,Ziv Mamon,"Eliya, in her 30s, is currently pregnant, but it is only temporary. Tonight, same as any other night, she goes out for a drink, followed by another one. No matter how the night turns out, she is scheduled for an abortion in the morning.",N/A
Dropouts and Kids,N/A,N/A,Jack McLoughlin,Jack McLoughlin,"After telling his parents he's dropping out of university, Billy goes to see his friend Eddie who has a few problems of his own.",N/A
Make Up,N/A,N/A,Alexander Jariwala-Waldemar,Tobias Henley,"Eleven-year-old girl gets jealous when her father is enticed by an attractive woman in his favorite pub and puts on make-up like she has seen other women do, to get his attention back",N/A
Frosty.Warm,N/A,N/A,Misia Pawlowska,Beata SliwinskaArtur Smolucha,,N/A
Calypso,N/A,N/A,Hugo Will-Boissonat,Hugo Will-Boissonat,She devours. She lives from men and fresh death. Will she find the Strangler?,N/A
Pijuni,N/A,N/A,Marko Magdic,Marko Magdic,,N/A
Merk. Sny. Stoor.,N/A,N/A,Ricardo Liut,Ricardo Liut,,N/A
The Glass Fortress,N/A,N/A,Alain Bourret,Alain BourretYevgeni Zamyatin,"One thousand years after the One State's conquest of the entire world, the spaceship Integral is being built in order to invade and conquer extraterrestrial planets.",N/A
Arts,N/A,N/A,Pieter du Plessis,Pieter du Plessis,,N/A
Even Roses,N/A,N/A,Gleb Gorobchenko,Gleb Gorobchenko,,N/A
Nanaki,N/A,N/A,Mohit Nirmala Nirmal,Mohit Nirmala NirmalShahnawaj Ansari,"The film 'NANAKI' is based on Social Awareness topic, The film revolves around a 15 year's old boy who had difficult times coping with his life while he is working as a labour. This film is based on real life stories and true events. The major character in this film, a 15 year old boy is sexually exploited by his co-worker(age 55), while he working in the restaurant(d... Leer todo",N/A
Tea & Therapy,N/A,N/A,Barbara Nell BeeryGlenn Conner Johnson,Barbara Nell Beery,Dr. Joyce Hart needs her tea. Lilly Altman needs her therapy. An elevator upends it all. A short film about facing your worst fear.,N/A
Blues 72,N/A,N/A,Beto Rosero,Beto Rosero,"1972: the peak of the hippie movement and drug trafficking in the tropical city of Barranquilla, Colombia. It tells the story of a man who lives the life of a lonely and discreet mechanic by day and a professional assassin by night.",N/A
Human Exposure,N/A,N/A,Pierre GregorySusan Gregory,Pierre GregorySusan Gregory,,N/A
Ghost,N/A,50%,Abigail Prade,Abigail Prade,The fifteen year old old Dutch-Chinese goth Li-An is struggling to find her own identity while growing up between the Dutch and Chinese culture. The film was produced for the CinemAsia Film Festival in 2016.,N/A
Closing time,N/A,N/A,Omid Pourhashemi,Omid Pourhashemi,"It's closing time. A man and a woman sit at a table in a restaurant. They drink their last wine, while listening to the waitress back in the kitchen, cleaning up and humming a melancholic song. What has happened?",N/A
Overkill,N/A,N/A,Blake BowenZade Dardari,Blake BowenZade Dardari,"A struggling high school student meets with his psychiatrist to delve into life, relationships, and the tribulations of being in high school.",N/A
For Julian,N/A,N/A,Chris Razniak,Lauren BremsRoberto Pino,,N/A
We are Vegans,N/A,N/A,Rajiv Menon,Feroz IsmailMahesh MuraliYuvaraj Pandian,,N/A
Destino - Canal Mosaico,N/A,N/A,Denise Sganzerla,Denise Sganzerla,,N/A
Chip N' Salsa,N/A,N/A,Em Johnson,Em Johnson,,N/A
Bus Stop,N/A,N/A,Balázs Mészáros,Toth-Miklos Agoston,A talented young boy must find the courage to fight the bullies and other pressures to make something of his life.,N/A
Happy Mother's Day,N/A,N/A,Li-Ling Hsieh,Li-Ling Hsieh,"Upon discovering that her mother hung herself on the day she prepares to celebrate Mother's Day with her little sister, as her father makes travel plans with his new wife, she suppresses her horror and continues preparing the celebration dinner with her little sister.",N/A
Wake Up,N/A,N/A,Wes Sutton,Alvin HysongWes Sutton,"A new day, a perfect family, a new job, it all begins and ends with Waking up.",N/A
Rocky's Sightline,N/A,N/A,Po-Tsang Huang,Sheng-Hung FengBo-Yan LiaoChih-Han Yen,"Hong, Ah Yi, and Rocky are members of the boxing team, but Hong and Ah Yi give vent to their feelings of bitterness and boredom upon the weaker Rocky.",N/A
7 Seconds in a Life Time,N/A,N/A,Chih-Keng Chuang,Yi-Jian ChenChih-Keng Chuang,"Jessie is going to be 18, a grown-up. After Jessie's father left them, her mom wants to start a new life and ends the gas service store they own. Mom wants to erase anything about her husband. She even wants to throw away the motorcycle which helped them carrying the gas tank. To Jessie, gas service store is not only a gas service but the whole picture of family. Moto... Leer todo",N/A
Maja,N/A,N/A,Laura Mielczarek,Laura Mielczarek,,N/A
Les Temps Modernes,N/A,N/A,Alberto Van den Eynde,Alberto Van den EyndeJoris-Karl Huysmans,,N/A
Fantasie Impromptu - a prologue,N/A,N/A,Duda Gorter,Duda Gorter,"It is the Laura's history, a middle-aged woman, unsatisfied with her reality and marriage. She knows a new piano student and all the enthusiasm of his arrival enlightens her life.",N/A
Mehboob 143,N/A,N/A,Sravan GajabhinkarSoumya Sukumar,Sravan Gajabhinkar,,N/A
My Funeral,N/A,N/A,Jui-Liang Hsu,Jui-Liang Hsu,"The fifty years funeral home was folding. To save his company, Chang, the funeral home's owner, decided to make a commercial video. Due to the lack of crew, Chang had to play the dead himself for the video. The commercial shooting got on; however, the fatal final stage cancer came to Chang at the same time. Chang crawled into a coffin, as practicing his own funeral to... Leer todo",N/A
Falling,N/A,N/A,Jemma van Loenen,Sepideh Fallah,,N/A
One Step,N/A,N/A,Kristen Brookman,Kristen Brookman,,N/A
Credit,N/A,N/A,Lyubomir Pechev,Lyubomir Pechev,,N/A
The Cradle of Icarus,N/A,N/A,Aris Koulaidis,Mike Savvidis,,N/A
Swan Song,N/A,N/A,Marita Liulia,Marita Liulia,,N/A
Chit Chat,N/A,N/A,Jason Delsignore,Maureen Delsignore,"As nature calls, two strangers have a possible life changing conversation.",N/A
Bad Coffee,N/A,N/A,Andrija Petkeviciute,Shawn Queirolo,"Bad Coffee is a story about two very different and damaged women, Violet ""Tuck"" Tucker and Ashley Conway, falling in love with each other and having to learn that sometimes love is not enough if it means losing yourself.",N/A
Vishala Hrudayada Kannadigaru,N/A,N/A,Vihaan Natarajan,Vihaan NatarajanSukrutha Wagle,,N/A
Ee Shruthi Lo,N/A,N/A,U.V. Eranna,Chakradhar DittakaviU.V. ErannaVenkatesh Kanupuru,,N/A
Off the Rails,N/A,N/A,Sam Hardy,Sam Hardy,"Conor Tate is a man living life on the edge and he owes his boss Frankie a vast amount of money. With tensions running high between the two of them, Conor ends up going off the rails and spirals out of control.",N/A
Naimisham,N/A,N/A,Avinash Natarajan,Avinash NatarajanNeha Roa,,N/A
To My Hero,N/A,N/A,Abhishek Amarnath,Kishan BhadarinathMuthukrishnan Rajaram,,N/A
Finir ma liste,N/A,N/A,Marion Guerrero,Marion Guerrero,,N/A
Just a Cup of Coffee,N/A,N/A,Jackson A. Abohasira,Jackson Abohasira,,N/A
Memories of a Lifetime,N/A,N/A,Ben Goldman,Jake ArbitBen Goldman,,N/A
Staigmena,N/A,N/A,Nerijus Sirvys,Nerijus Sirvys,This short film is about a surprise a man is preparing for a girl. But this is not an ordinary man and not an ordinary girl. It's a desperate search for happiness. There will be a surprise.,N/A
Voor de Vijand,N/A,N/A,Joep Lommerse,Joep LommerseRutger LommerseJan van Rijthoven,"The Jewish Jacob Urbach is in hiding for the German invader. He has found his own way of living in an abandoned factory. After discovering some weird happenings, Jacob decides to leave the factory. He then finds himself in a changed world.",N/A
Falling Apart,N/A,N/A,Ricard L. Befan,Ricard L. Befan,,N/A
Between,N/A,0%,Rajesh Tailang,Rajesh Tailang,Rohit and Riya think this is the last time they are meeting. But mostly the last meeting is never the last meeting.....Some things are better unsaid in love and poetry.,N/A
Tremble,N/A,N/A,Joseph M. Teminsky,Joseph M. Teminsky,A young man struggles with his demons.,N/A
Guys Like Us,N/A,N/A,Andrew SpachMatthew Spach,James-Monroe ColonHazer OzcanAndrew Spach,"Two oddball friends embark on a day-hike, followed by a mysterious extra companion. They each are faced with different insecurities when they get split up in the forest.",N/A
Inside,N/A,36%,Ben Salavati,Kirsty ArmstrongEmily Aspland,"After crashing her car, a young woman wakes in a locked cell and must battle to escape an increasingly nightmarish scenario.",N/A
Come Home,N/A,N/A,Vincent DeMarco,Vincent DeMarcoSevin,,N/A
"Adiós, hermano",N/A,N/A,Igor Fernández,Ángela AndradaIgor Fernández,,N/A
Corazón,N/A,N/A,Laura Lozano,Laura Lozano,,N/A
Right Here or Over There,N/A,N/A,Pauline Mabille,Pauline Mabille,,N/A
As Vacas de Wisconsin,N/A,N/A,Sara Traba,Sara Traba,,N/A
The Sister I Keep,N/A,N/A,Cesar B. Solla Jr.,Cesar B. Solla Jr.,"Estranged sisters meet to deal with their past, present, and future.",N/A
Auzaar,N/A,25%,Sandeep Kumar Rana,Sandeep Kumar Rana,,N/A
Left or Right,N/A,N/A,Nathan Mathews,Nathan Mathews,A man ponders on what appears to be a simple life decision.,N/A
The WOW!,N/A,N/A,Tania Quiroz,Tania Quiroz,"Following the recent split of Gloria, a young career driven marketing exec and Gregg, a free spirited band-photographer, their angsty 12-year-old daughter Charlie is mortified when Gregg abruptly moves out. Weeks of hardly any communication with her father, Charlie finds out that their all time favorite band The WOW. will be performing locally over the summer. Charlie... Leer todo",N/A
The Seahorse,N/A,N/A,Zahra Faraji,Zahra Faraji,,N/A
De Barrio,N/A,N/A,Sebastian Galvis,Sebastian Galvis,,N/A
The Secret of the Violin,N/A,N/A,Ksenia Naughton,Ksenia Naughton,A young woman despaired for money gives up her aspirations to be a concert violinist and ends up selling it to a young man who plays it very well.,N/A
Samurai Two,N/A,N/A,Nori Mizukami,Prat ChiMao HanadaYoichiro Kawakami,,N/A
"Lead Me, Father",N/A,N/A,Mikayla Hirsch,Mikayla HirschHannah Keller,Meg lives in a small town against the backdrop of the Great Depression. Can a town dance finally restore Meg's relationship with her estranged father?,N/A
Living the Dream,N/A,0%,Amelia GilleyCorey Lipscomb,Corey LipscombMax Scovil,,N/A
A Place to Stay,N/A,N/A,Amin Pourbarghi,Amin Pourbarghi,,N/A
Coma,N/A,55%,Lindsey Luske,Dirk Gunther MohrMees FernandesSamantha Haitsma,,N/A
The Letter,N/A,N/A,Febrian Andhika,Moh. Azry,A father who lives with his son for years after his wife passed away is now hoping on his only son to look after him. The son has got to leave the father and work outside of town to make ends meet. After a month of working the son send a mobile phone as a present to his father to take him out of depression and be in touch with him. They always ring each other to talk ... Leer todo,N/A
Y yo a ti,N/A,N/A,Oliver Rondon,Ron DulceyOliver Rondon,Two young men meet in a park. Apparently they haven't seen each other in a long time. They talk about how much they miss each other and how much they mean to each other. It is obvious that the two are close friends. Or is it even love? But it is only at the end of their conversation that the poignant drama of their relationship is revealed.,N/A
En tus pupilas,N/A,N/A,Oliver Rondon,Heverth AponteOliver RondonValeria Sandoval,,N/A
Glód,N/A,N/A,Grzegorz Paprzycki,Grzegorz Paprzycki,,N/A
The Shadow,N/A,71%,Yimeng Yuan,Yimeng Yuan,,N/A
Vedma,N/A,N/A,Vera Vodynski,Vera Vodynski,,N/A
Reco,N/A,N/A,Agustinus Dwi Nugroho,Agustinus Dwi NugrohoHimawan Pratista,Mr. Bejo found an ancient statue in his yard and shared the story with his wife. He decided to sell the statue after the discussion with his wife. The village people received the news when the wife started to share the secret with her close friends. The whole village started digging to find more statues and earn.,N/A
One Beautiful Morning,N/A,N/A,Austin Hamilton,Austin Hamilton,A short film about a man's undying obsession to reunite with the woman he loves.,N/A
Renée,N/A,64%,Javier Correa Cáceres,Javier Correa Cáceres,"Gabriela is nervous. She waits for the most important visit of her life, a long-delayed meeting. The bell rings. She goes to the door, takes the door handle, sights anxiously, and finally opens it.",N/A
Chess,N/A,N/A,Gülnigar Ralph-Nurhikim,Gülnigar Ralph-Nurhikim,,N/A
Souls,N/A,N/A,Minhngoc Do,Minhngoc Do,,N/A
From Inside,N/A,N/A,Victor Outón,Victor OutónNorberto Trujillo B.,,N/A
"Paista, paista, päivänen!",N/A,N/A,Priit Karm,N/A,"The Son of Wind blows a handful of flour off a peasant's palm. The old man then asks the Wind for the flour back. The Wind gifts the man with a goat, a table and wit. Now the old man and the old woman may live a happy life.",N/A
1954,N/A,N/A,Victor Outón,Isabel KleinAlexander LoveVictor Outón,,N/A
Luminiscencia,N/A,N/A,Samara Cuadrado,Samara CuadradoVictor Outón,,N/A
Kyra,N/A,N/A,Jurriaan Kamps,Romy GeversAchraf Koutet,,N/A
Mie,N/A,N/A,Alve Lindenbaum,Alve Lindenbaum,"Mie is in a gray area between love that's died and a new one that hasn't begun. Goes out for parties, picks up clothes at the ex, flees off to the countryside. A film about those small situations when you just want to move on.",N/A
Wicked Counsellor,N/A,N/A,Prince Jacob,Becky Fowler,,N/A
Valetudinarian,N/A,N/A,Stephen Ohl,Ramsay PhilipsDavid Schroeder,,N/A
"The River, a 48 Hour Episode in The Life of A Filmmaker",N/A,N/A,Nader Farahwaschy,Nader FarahwaschyAmin Seqatchi,"In the middle of a film project Amins camera gets lost in a bank, or did someone steal it? Together with his cameraman he undergoes a bureaucratic procedure to get hold of the CCTV footage, gets his camera back and decides to make up the time he lost, by making a new movie in one take. He makes himself on the search for a suitable actor, who's name, without further th... Leer todo",N/A
Dirt,N/A,N/A,Damian Jenkins,Ainsley Jenkins,,N/A
Reach,N/A,N/A,Meredith Koch,Eduardo C. D'AngeloLogan HuntNaina Michaud,,N/A
Phase Eight,N/A,N/A,Nader Farahwaschy,Nader FarahwaschyAmin Seqatchi,"In search for the graveyard of his grandfather, situated north of Tehran, Amins journey consits of a labyrinth of roads, adresses, questions, dubious answers and people, guiding his way to the place he had been as a child. After his journey seems to have finally reached its goal, he is confronted with a disturbing discovery: the area of the graveyard has been turned i... Leer todo",N/A
Exposed - Love Hate Blackmail,N/A,N/A,Michelle Foster,Michelle Foster,"After being coerced by his old flame, Riley, to help with a blackmail scheme, Graham discovers that she is just as much a victim.",N/A
Test of Courage,N/A,N/A,Rena Dumont,Rena Dumont,"During WWII, a bunch of children, with 11-year old Anton and his younger brother Rudi in the middle, meet up at a wall at the cemetery. They regularly have tests of courage. As it is Rudi's turn, he makes his way, armed with a knife, to the grave of a child murderer, where the night ends in terror.",N/A
Look Up: A Mini Film,N/A,N/A,Sarah Slywchuk,Sarah Slywchuk,A story of the beauty in world that we miss when our heads are stuck in our phones.,N/A
Jour De Chance,N/A,N/A,Eric Jacquelin,Eric Jacquelin,,N/A
First Day at Work,N/A,N/A,Alex Furnas,Alex Furnas,Tim's new job gets off to a rocky start.,N/A
La oportunidad,N/A,N/A,Rodrigo MenenMiguel Ángel Muñiz,Miguel Ángel Muñiz,"Una misteriosa mujer dice saber la identidad del hombre que mató hace unos años a la hija de un director teatral de mediana edad. Él se muestra reticente a remover el pasado, pero el trauma permanece y tendrá que tomar una decisión.",N/A
Carcer,N/A,N/A,Chris Hozempa,Dave Perez,,N/A
Anniversary,N/A,80%,Hyesung Jeon,Hyesung Jeon,"A young couple celebrates their anniversary, but it's complicated.",N/A
The Woods,N/A,12%,Gavin Tran,Gavin Tran,"On the run with limited resources, a man begins a search for his loved one after being separated by an uncontrollable riot.",N/A
One Click Away,N/A,N/A,Mark Ledbetter,Cameron Cross,"A young boy looks to buy his fighting parents a gift, putting his life in jeopardy.",N/A
Hailstone's Dance,N/A,N/A,Ali JenabanAmin Pourbarghi,Amin Pourbarghi,,N/A
Orange,N/A,N/A,Vace Halastaras,Vace Halastaras,A young man spends every day making children happy in memory of his dead little brother.,N/A
Domingo,N/A,N/A,Erika Oregel,Erika Oregel,,N/A
The Fighting Irish,N/A,N/A,Alex Shipman,Brendan Duggan,"Aideen, a young teenager, takes on the brutal sport of boxing to prove to herself, an intense coach and everyone around her that she can be the next Fighting Irish.",N/A
Pravila igre,N/A,N/A,Vid Steh,Vid Steh,Roman is a worthless drug dealer on the run. His only way out is to borrow money from his estranged brother Janez.,N/A
The Cost of Happiness,N/A,N/A,Gila Fisher,Gila Fisher,,N/A
Love is Trap,N/A,N/A,Hanung Bramantyo,N/A,,N/A
Khun Pu,N/A,N/A,Christian CandelariaEdsel Uy,Christian Candelaria,"A teenager brings his grandfather, who is diagnosed with dementia, around Kamphaeng Phet in Thailand, in hopes of bringing back his grandfather's memories.",N/A
AA503,N/A,N/A,Elle Hutchens,Jessica Kelsey,"Lucy hasn't been the same since suffering a personal crisis, but will a malfunctioning robot help her regain her sense of what it is to be human?",N/A
Tensions,N/A,N/A,Elias Märk,Nikolai LiskutinElias Märk,"Viktor and Annika just want to do their job to eliminate the tensions between their and the rival organization. But when the planned deal suddenly fails, they are faced with the biggest decision of their lives.",N/A
Under the Chinese Banyan,N/A,N/A,Ross Yau,Kin-Ping LeungKam-Mang Tam,"Chung's sister pleaded him to tend to their dementia mother while she was laboring in the hospital. Chung, hated and refused to see his eccentric mother for years, unwillingly escorted her to a medical appointment. However, she wandered away midway.",N/A
Wypowiedzenie,N/A,N/A,Ewa Kochanska,Ewa KochanskaDanuta Sabat,A Ukrainian woman cleans the home of a young couple in Warsaw. A forced ritual of everyday activities leads to the escalation of tensions and emotions. An incident ultimately destroys the old order of things.,N/A
Watch This Space,N/A,N/A,Riley Wong,Riley Wong,,N/A
The Button,N/A,N/A,Gary Brooks,Gary Brooks,"Melville, a civil war solider travels to the future and search for his girlfriend, Bella.",N/A
Three Comrades,N/A,100%,Ivan Snezhkin,Ivan Snezhkin,,N/A
How Can Education Best Prepare You for Your Future?,N/A,N/A,Mykola Yeriomin,Mykola Yeriomin,An attempt to answer an important question with footage and intertitles.,N/A
Ippathmuru 23,N/A,N/A,Manue AnuRam,Manue AnuRam,"The confusions that a 23 year old ""Harsha"" has in his life. What are his confusions? Will he be able to come out of them? Will he be successful in life? You have to watch this film if you want to know the answers.",N/A
Quelle vie!,N/A,N/A,Joakim Scheidegger,Joakim Scheidegger,,N/A
Tom King,N/A,N/A,Bo Ye,Bo Ye,,N/A
Portrait,N/A,N/A,Joseph Daly,Joseph Daly,Vincent suffers for his art and so do his subjects. portrait; is a study on the loop of lust and the scars left forever.,N/A
Black Magic,N/A,64%,Rachel Bass,N/A,"A quiet, imaginative black teenager begins work at an after-school program and transforms craft-time into brown-friendly activities. She falls into conflict with her white supervisor who disapproves of her actions, and must summon up the courage-either through magic or willpower-to defend her beliefs even when her job is on the line.",N/A
The City of Good Neighbors,N/A,N/A,Daniella Hobbs,N/A,,N/A
My Grandma's House,N/A,N/A,Christina Liao,N/A,,N/A
The Blaise EP,N/A,N/A,Kevin Giles,N/A,A music industry hopeful and former gang member interviews to be in the Witness Protection Program.,N/A
Backpack,N/A,N/A,Namrata RamsayAkasa SinghJay Soni,N/A,,N/A
Mans Best,N/A,N/A,Seth McTigue,Seth McTigue,,N/A
Goo/Gags of Officepur (TV Series),N/A,N/A,N/A,N/A,,N/A
Conatus,N/A,N/A,Anna Sophia Stadler,N/A,,N/A
AfterMath,N/A,82%,Shareese Mason,Shareese Mason,"It is about a man, Ramone ""Riyadh Rollins"", who tries to move on after being betrayed by his best friend, Moses ""Mike Smalls"", and girlfriend Cyn, ""Shareese Mason"". Ramone is a talented musician who has difficulty being a leader of his band. His best friend Moses notices his weakness and seizes the opportunity to gain control of the band with the help of Cyn.",N/A
Blame,N/A,58%,Noël Barlow,Justin S BlackburnKelly Young,,N/A
Periwinkle,N/A,N/A,Nicholas Mullins,Nicholas Mullins,"Periwinkle is the story of 16 year old Emile and his group of friends during a trip that proves to be the most important and consequential of his life. After learning that a terrible illness has overtaken his body, Emile chooses to hide it from his friends as they set off on a camping trip. While isolated, Emile begins to suffer from side effects of the illness, while... Leer todo",N/A
